Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
35326;2145.00;1127.70;0;0;3;;RUB;RUB
35621;3100.00;1631.70;0;0;3;;RUB;RUB
36234;1443.00;720.30;0;0;3;;RUB;RUB
36251;2292.00;1205.40;0;0;3;;RUB;RUB
36253;2120.00;1115.10;0;0;3;;RUB;RUB
36258;2105.00;1106.70;0;0;3;;RUB;RUB
36263;2510.00;1320.90;0;0;3;;RUB;RUB
36277;1927.00;1012.20;0;0;3;;RUB;RUB
36350;926.00;411.60;0;0;3;;RUB;RUB
36504;7190.00;3990.00;0;0;3;;RUB;RUB
36510;5568.00;3087.00;0;0;3;;RUB;RUB
36571;301.00;86.10;0;0;3;;RUB;RUB
36738;1008.00;447.30;0;0;3;;RUB;RUB
36742;585.00;194.88;0;0;3;;RUB;RUB
36857;1293.00;644.70;0;0;3;;RUB;RUB
36858;3063.00;1610.70;0;0;3;;RUB;RUB
36871;4089.00;2268.00;1;1;1;;RUB;RUB
37161;286.00;81.69;0;0;3;;RUB;RUB
37178;1394.00;695.10;0;0;3;;RUB;RUB
37218;3050.00;1604.40;0;0;3;;RUB;RUB
37479;805.00;298.20;0;0;3;;RUB;RUB
37802;2436.00;1281.00;0;0;3;;RUB;RUB
37844;4629.00;2562.00;0;0;3;;RUB;RUB
37885;1635.00;816.90;0;0;3;;RUB;RUB
37897;1089.00;543.90;0;0;3;;RUB;RUB
37898;705.00;260.40;0;0;3;;RUB;RUB
37899;1089.00;543.90;0;0;3;;RUB;RUB
37952;2527.00;1329.30;0;0;3;;RUB;RUB
37957;2458.00;1293.60;0;0;3;;RUB;RUB
38140;1790.00;894.60;0;0;3;;RUB;RUB
38319;6550.00;3633.00;0;0;3;;RUB;RUB
38320;6548.00;3633.00;0;0;3;;RUB;RUB
39218;2579.00;1356.60;0;0;3;;RUB;RUB
39269;1716.00;856.80;1;1;1;"54-56 черный";RUB;RUB
39289;1958.00;978.60;0;0;3;;RUB;RUB
39428;1130.00;564.90;0;0;3;;RUB;RUB
39430;1106.00;552.30;0;0;3;;RUB;RUB
39431;1637.00;816.90;0;0;3;;RUB;RUB
39432;2776.00;1459.50;0;0;3;;RUB;RUB
39433;8551.00;4746.00;0;0;3;;RUB;RUB
39796;575.00;212.10;0;0;3;;RUB;RUB
39878;678.00;300.30;0;0;3;;RUB;RUB
39879;790.00;291.90;0;0;3;;RUB;RUB
40100;2642.00;1465.80;0;0;3;;RUB;RUB
40402;805.00;298.20;0;0;3;;RUB;RUB
40630;5087.00;2814.00;0;0;3;;RUB;RUB
40669;1555.00;777.00;0;0;3;;RUB;RUB
44903;309.00;88.41;0;0;3;;RUB;RUB
45004;2495.00;1312.50;0;0;3;;RUB;RUB
45245;5588.00;3087.00;0;0;3;;RUB;RUB
45428;2455.00;1291.50;0;0;3;;RUB;RUB
45433;2489.00;1308.30;1;1;1;черный;RUB;RUB
45561;1334.00;665.70;0;0;3;;RUB;RUB
45575;770.00;283.50;0;0;3;;RUB;RUB
45586;4259.00;2352.00;0;0;3;;RUB;RUB
45909;5841.00;3234.00;0;0;3;;RUB;RUB
45996;3326.00;1749.30;0;0;3;;RUB;RUB
46204;1079.00;537.60;0;0;3;;RUB;RUB
46327;599.00;199.50;0;0;3;;RUB;RUB
46328;1103.00;489.30;0;0;3;;RUB;RUB
46329;599.00;199.50;0;0;3;;RUB;RUB
46330;980.00;434.70;0;0;3;;RUB;RUB
46337;599.00;199.50;0;0;3;;RUB;RUB
46836;809.00;489.30;0;0;3;;RUB;RUB
46846;1218.00;726.60;0;0;3;;RUB;RUB
47289;2068.00;1087.80;0;0;3;;RUB;RUB
47838;1040.00;518.70;1;2;1;телесный;RUB;RUB
48103;709.00;262.50;1;0;3;;RUB;RUB
48964;576.00;191.73;0;0;3;;RUB;RUB
48965;469.00;156.24;0;0;3;;RUB;RUB
49188;24380.00;15729.00;0;0;3;;RUB;RUB
49452;1838.00;917.70;0;0;3;;RUB;RUB
49466;787.00;289.80;0;0;3;;RUB;RUB
49566;576.00;191.94;0;0;3;;RUB;RUB
49633;2706.00;1423.80;0;0;3;;RUB;RUB
50139;1067.00;472.50;0;0;3;;RUB;RUB
50145;696.00;308.70;0;0;3;;RUB;RUB
51147;485.00;161.49;0;0;3;;RUB;RUB
51154;467.00;155.61;0;0;3;;RUB;RUB
51157;456.00;151.83;0;0;3;;RUB;RUB
51194;1825.00;911.40;0;0;3;;RUB;RUB
51237;5298.00;2940.00;0;0;3;;RUB;RUB
51278;2316.00;1218.00;0;0;3;;RUB;RUB
51279;3480.00;1831.20;0;0;3;;RUB;RUB
51289;2316.00;1218.00;0;0;3;;RUB;RUB
51290;2316.00;1218.00;0;0;3;;RUB;RUB
51291;2930.00;1434.30;0;0;3;;RUB;RUB
51531;4372.00;2415.00;0;0;3;;RUB;RUB
51614;1062.00;529.20;0;0;3;;RUB;RUB
51801;10443.00;5964.00;0;0;3;;RUB;RUB
51981;478.00;159.39;0;0;3;;RUB;RUB
52659;564.00;207.90;0;0;3;;RUB;RUB
52660;549.00;201.60;0;0;3;;RUB;RUB
52662;610.00;224.70;0;0;3;;RUB;RUB
52811;3642.00;2016.00;0;0;3;;RUB;RUB
52912;18888.00;12180.00;0;0;3;;RUB;RUB
53730;5670.00;3150.00;0;0;3;;RUB;RUB
53765;1232.00;615.30;0;0;3;;RUB;RUB
53902;2612.00;1373.40;0;0;3;;RUB;RUB
53956;1920.00;1010.10;0;0;3;;RUB;RUB
53958;795.00;294.00;0;0;3;;RUB;RUB
